quality_pre,quality_post,quantity_pre,quantity_post,score_pre,score_post,improvement,improvement_percent
66.392,65.99600000000001,40.0,45.0,106.392,110.99600000000001,4.604000000000013,4.326986334843342
64.77199999999999,67.828,37.5,45.0,102.27199999999999,112.828,10.556000000000012,10.320486498113073
63.43599999999999,63.547999999999995,45.0,40.0,108.43599999999999,103.548,-4.887999999999991,-4.5073123951090786
63.568000000000005,65.292,40.0,42.5,103.56800000000001,107.792,4.2239999999999895,4.078086080055599
66.948,66.77199999999999,37.5,37.5,104.448,104.27199999999999,-0.17600000000000193,-0.16848877060636996
71.868,67.44,40.0,40.0,111.868,107.44,-4.427999999999997,-3.957882693648436
64.448,69.27199999999999,0.0,42.5,64.448,111.77199999999999,47.324,73.41834993328989
63.132000000000005,61.855999999999995,40.0,37.5,103.132,99.356,-3.7760000000000105,-3.660972251846978
63.832,68.832,40.0,42.5,103.832,111.332,7.5,7.222511122667129
66.804,67.98400000000001,37.5,42.5,104.304,110.48400000000001,6.180000000000007,5.924420499645308
59.532,61.855999999999995,35.0,40.0,94.532,101.856,7.323999999999998,7.7468215184785585
66.21600000000001,66.804,37.5,40.0,103.71600000000001,106.804,3.087999999999994,2.9770742147581064
64.532,68.932,37.5,42.5,102.032,111.432,9.400000000000006,9.211893142039557
66.868,69.804,37.5,42.5,104.368,112.304,7.936000000000007,7.603134760198516
65.068,64.804,35.0,40.0,100.068,104.804,4.736000000000004,4.7323087991366775
63.132000000000005,64.54400000000001,37.5,45.0,100.632,109.54400000000001,8.912000000000006,8.855149937401885
61.608000000000004,63.848,45.0,45.0,106.608,108.848,2.239999999999995,2.1009585623440645
61.84,63.488,37.5,40.0,99.34,103.488,4.147999999999996,4.175138399597379
66.96000000000001,66.96000000000001,37.5,35.0,104.46000000000001,101.96000000000001,-2.5,-2.3930314922944382
70.524,68.496,37.5,42.5,108.024,110.996,2.971999999999994,2.75098580076642
67.304,71.688,40.0,45.0,107.304,116.688,9.384,8.744432226922862
69.46000000000001,68.42399999999999,37.5,42.5,106.96000000000001,110.92399999999999,3.9639999999999844,3.705711881836014
62.168,72.392,35.0,40.0,97.168,112.392,15.22399999999999,15.666097264813011
59.46,61.96,40.0,37.5,99.46000000000001,99.46000000000001,0.0,0.0
65.632,69.368,42.5,42.5,108.132,111.868,3.73599999999999,3.454716946237345
61.94799999999999,62.272,42.5,37.5,104.448,99.77199999999999,-4.676000000000002,-4.476440291791918
66.524,71.952,40.0,37.5,106.524,109.452,2.9279999999999973,2.7484183453169853
64.448,69.27199999999999,37.5,37.5,101.948,106.77199999999999,4.823999999999998,4.731359971753073
67.624,67.624,40.0,40.0,107.624,107.624,0.0,0.0
58.42,67.98400000000001,42.5,37.5,100.92,105.48400000000001,4.564000000000007,4.521945903101166
60.260000000000005,67.876,35.0,42.5,95.26,110.376,15.116,15.866484727616246
64.27199999999999,64.27199999999999,42.5,45.0,106.77199999999999,109.27199999999999,2.5,2.341218557434774
68.044,72.72399999999999,40.0,42.5,108.044,115.22399999999999,7.179999999999993,6.644825735280501
63.568000000000005,70.332,40.0,40.0,103.56800000000001,110.332,6.763999999999982,6.530344281604183
62.168,69.368,40.0,40.0,102.168,109.368,7.199999999999989,7.046526649572303
72.388,69.40799999999999,40.0,42.5,112.388,111.90799999999999,-0.4800000000000182,-0.42705386216838215
67.616,67.616,37.5,42.5,105.116,110.116,5.0,4.756197325114624
64.356,66.432,40.0,37.5,104.356,103.932,-0.4239999999999924,-0.40626257593468407
64.668,64.83600000000001,37.5,37.5,102.168,102.33600000000001,0.16800000000000637,0.16441895515669355
64.532,64.40799999999999,37.5,45.0,102.032,109.40799999999999,7.375999999999991,7.2283961506046435
74.756,78.49199999999999,40.0,40.0,114.756,118.49199999999999,3.73599999999999,3.2553195197183746
68.724,73.95599999999999,40.0,42.5,108.724,116.45599999999999,7.731999999999985,7.11093126345024
62.70400000000001,60.64,37.5,37.5,100.20400000000001,98.14,-2.064000000000007,-2.059592472109692
62.168,62.92399999999999,42.5,37.5,104.668,100.42399999999999,-4.244000000000014,-4.054338065305044
68.968,74.54400000000001,37.5,45.0,106.468,119.54400000000001,13.076000000000008,12.280471083228466
67.568,67.304,37.5,40.0,105.068,107.304,2.236000000000004,2.12794305182817
66.868,64.27199999999999,37.5,45.0,104.368,109.27199999999999,4.903999999999996,4.698308072582342
63.396,67.608,40.0,47.5,103.396,115.108,11.712000000000003,11.326228652109164
69.696,68.008,37.5,40.0,107.196,108.008,0.8119999999999976,0.7574202936402791
69.368,66.868,37.5,47.5,106.868,114.368,7.5,7.017346881491046
65.632,65.452,37.5,42.5,103.132,107.952,4.819999999999993,4.673169029105498
66.348,70.076,37.5,42.5,103.848,112.576,8.727999999999994,8.403782087080431
67.132,67.132,42.5,40.0,109.632,107.132,-2.5,-2.2801481184217725
64.46000000000001,67.724,37.5,37.5,101.96000000000001,105.224,3.263999999999996,3.200941453368633
61.96,62.272,37.5,40.0,99.46000000000001,102.27199999999999,2.8119999999999834,2.8269830099527327
65.632,61.524,37.5,40.0,103.132,101.524,-1.608000000000004,-1.5590157258924628
61.96,65.112,42.5,47.5,104.46000000000001,112.612,8.151999999999987,7.8031970900736916
68.396,71.844,37.5,40.0,105.896,111.844,5.947999999999993,5.616301248276766
70.292,65.376,42.5,42.5,112.792,107.876,-4.915999999999997,-4.358078757468836
67.568,65.328,40.0,45.0,107.568,110.328,2.760000000000005,2.5655803231143963
72.568,72.78399999999999,40.0,45.0,112.568,117.78399999999999,5.215999999999994,4.633232070209094
63.92,68.3,37.5,40.0,101.42,108.3,6.8799999999999955,6.783003056294977
62.168,59.504,37.5,40.0,99.668,99.50399999999999,-0.1640000000000157,-0.16452978591064796
